intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""10a,B*""","=""""",,"=""0.2003080""","=""8.696a""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""1""",,"=""""","=""L2305""",
"=""10a,B*""","=""""",,"=""0.2003080""","=""8.696a""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""2""",,"=""""","=""L2305""",
"=""10a,B*""","=""""",,"=""0.2002811""","=""8.696a""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""1""",,"=""""","=""L2305""",
"=""10a,B""","=""""",,"=""0.000000000""","=""8.487a""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s2.2p""","=""1P*""","=""1""",,"=""""","=""L2305""",
"=""a,B""","=""""",,"=""0.000000000""","=""1.4733a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.3s.10p?""","=""1P*?""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""1.4695a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.3s.9p?""","=""1P*?""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""1.4637a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.3s.8p?""","=""1P*?""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""1.4550a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.3s.7p?""","=""1P*?""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""1.3843a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.3s.4p""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""1.2997a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.3s.3p""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a""","=""""",,"=""0.000000000""","=""0.9693""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.13s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a""","=""""",,"=""0.000000000""","=""0.9679""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.12s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a""","=""""",,"=""0.000000000""","=""0.9667""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.11s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.9644a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.10s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.9616a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.9s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.9577a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.8s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.9515a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.7s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.94937a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.6d""","=""1P*""","=""1""",,"=""""","=""L481""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.9416a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.6s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.93761a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.5d""","=""1P*""","=""1""",,"=""""","=""L481""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.9240a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.5s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""[0.91644a]""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.4d""","=""1P*""","=""1""",,"=""""","=""L481""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.889a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.4s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.87157a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.3d""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a,B""","=""""",,"=""0.000000000""","=""0.804a""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.3s""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a""","=""""",,"=""0.000000000""","=""[0.678931]""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.13p""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a""","=""""",,"=""0.000000000""","=""[0.677807]""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.12p""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a""","=""""",,"=""0.000000000""","=""[0.676352]""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.11p""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a""","=""""",,"=""0.000000000""","=""[0.674421]""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.10p""","=""1P*""","=""1""",,"=""""","=""L1790""",
"=""a""","=""3.71e+05""",C,"=""0.000000000""","=""[0.671781]""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.9p""","=""1P*""","=""1""",,"=""u28""","=""L1790""",
"=""""","=""5.6e+04""",D,"=""0.000000000""","=""0.6680422""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.8p""","=""3P*""","=""1""",,"=""u28""","=""""",
"=""a""","=""4.28e+05""",C,"=""0.000000000""","=""[0.668047]""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.8p""","=""1P*""","=""1""",,"=""u28""","=""L1790""",
"=""a""","=""6.30e+05""",C,"=""0.000000000""","=""[0.662508]""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.7p""","=""1P*""","=""1""",,"=""u28""","=""L1790""",
"=""a""","=""7.76e+05""",C,"=""0.000000000""","=""0.6537992""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.6p""","=""1P*""","=""1""",,"=""u28""","=""L1790""",
"=""4""","=""7.57e+05""",C,"=""0.000000000""","=""0.6389858""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.5p""","=""1P*""","=""1""",,"=""u28""","=""L4743""",
"=""8""","=""1.2e+05""",D,"=""0.000000000""","=""0.6108660""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.4p""","=""1P*""","=""1""",,"=""u28""","=""L4743""",
"=""""","=""""",,"=""0.000000000""","=""0.587114810""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.3d""","=""1D""","=""2""",2P,"=""""","=""L21345""",
"=""30""","=""7.23e+06""",A,"=""0.000000000""","=""0.548468340""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.3p""","=""1P*""","=""1""",,"=""T7096c74""","=""L4743""",
"=""""","=""4.4e-01""",D,"=""0.000000000""","=""0.53680438""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.3p""","=""3P*""","=""1""",,"=""T7096c74""","=""""",
"=""2*""","=""""",,"=""0.20028670""","=""0.678119""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.12d""","=""3D""","=""2""",,"=""""","=""L7412""",
"=""2*""","=""""",,"=""0.2002811""","=""0.678116""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.12d""","=""3D""","=""1""",,"=""""","=""L7412""",
"=""2*""","=""""",,"=""0.20028670""","=""0.678116""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.12d""","=""3D""","=""1""",,"=""""","=""L7412""",
"=""2*""","=""""",,"=""0.2003080""","=""0.67813""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.12d""","=""3D""","=""3""",,"=""""","=""L7412""",
"=""2*""","=""""",,"=""0.2003080""","=""0.678119""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.12d""","=""3D""","=""2""",,"=""""","=""L7412""",
"=""2*""","=""""",,"=""0.2003080""","=""0.678116""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.12d""","=""3D""","=""1""",,"=""""","=""L7412""",
"=""*""","=""""",,"=""8.491+x""","=""8.968+x""","=""1s.(2S).2s.2p2.(4P)""","=""5P""","=""3""","=""1s.(2S).2p3.(4S*)""","=""5S*""","=""2""",,"=""""","=""L5311c4""",
"=""*""","=""""",,"=""8.491+x""","=""8.968+x""","=""1s.(2S).2s.2p2.(4P)""","=""5P""","=""2""","=""1s.(2S).2p3.(4S*)""","=""5S*""","=""2""",,"=""""","=""L5311c4""",
"=""*""","=""""",,"=""8.491+x""","=""8.968+x""","=""1s.(2S).2s.2p2.(4P)""","=""5P""","=""1""","=""1s.(2S).2p3.(4S*)""","=""5S*""","=""2""",,"=""""","=""L5311c4""",
"=""3*""","=""""",,"=""0.2002811""","=""0.676774""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.11d""","=""3D""","=""1""",,"=""""","=""L7412""",
"=""3*""","=""""",,"=""0.20028670""","=""0.676780""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.11d""","=""3D""","=""2""",,"=""""","=""L7412""",
"=""3*""","=""""",,"=""0.20028670""","=""0.676774""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.11d""","=""3D""","=""1""",,"=""""","=""L7412""",
"=""3*""","=""""",,"=""0.2003080""","=""0.67679""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.11d""","=""3D""","=""3""",,"=""""","=""L7412""",
"=""3*""","=""""",,"=""0.2003080""","=""0.676780""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.11d""","=""3D""","=""2""",,"=""""","=""L7412""",
"=""3*""","=""""",,"=""0.2003080""","=""0.676774""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.11d""","=""3D""","=""1""",,"=""""","=""L7412""",
"=""5*""","=""""",,"=""0.2002811""","=""0.674969""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.10d""","=""3D""","=""1""",,"=""""","=""L7412""",
"=""5*""","=""""",,"=""0.20028670""","=""0.674976""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.10d""","=""3D""","=""2""",,"=""""","=""L7412""",
"=""5*""","=""""",,"=""0.20028670""","=""0.674969""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.10d""","=""3D""","=""1""",,"=""""","=""L7412""",
"=""5*""","=""""",,"=""0.2003080""","=""0.67498""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.10d""","=""3D""","=""3""",,"=""""","=""L7412""",
"=""5*""","=""""",,"=""0.2003080""","=""0.674976""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.10d""","=""3D""","=""2""",,"=""""","=""L7412""",
"=""5*""","=""""",,"=""0.2003080""","=""0.674969""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.10d""","=""3D""","=""1""",,"=""""","=""L7412""",
"=""7*""","=""5.12e+06""",B,"=""0.20028670""","=""0.672531""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.9d""","=""3D""","=""2""",,"=""u28""","=""L7412""",
"=""7*""","=""3.79e+06""",B,"=""0.2002811""","=""0.67252""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.9d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""7*""","=""6.81e+06""",B,"=""0.2003080""","=""0.672548""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.9d""","=""3D""","=""3""",,"=""u28""","=""L7412""",
"=""7*""","=""2.85e+06""",B,"=""0.20028670""","=""0.67252""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.9d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""7*""","=""1.71e+06""",B,"=""0.2003080""","=""0.672531""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.9d""","=""3D""","=""2""",,"=""u28""","=""L7412""",
"=""7*""","=""1.90e+05""",B,"=""0.2003080""","=""0.67252""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.9d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""11*""","=""5.43e+06""",B,"=""0.2002811""","=""0.6691382""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.8d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""11*""","=""7.34e+06""",B,"=""0.20028670""","=""0.6691381""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.8d""","=""3D""","=""2""",,"=""u28""","=""L7412""",
"=""11*""","=""4.07e+06""",B,"=""0.20028670""","=""0.6691382""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.8d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""11*""","=""2.44e+06""",B,"=""0.2003080""","=""0.6691381""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.8d""","=""3D""","=""2""",,"=""u28""","=""L7412""",
"=""11*""","=""2.71e+05""",B,"=""0.2003080""","=""0.6691382""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.8d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""11*""","=""9.78e+06""",B,"=""0.2003080""","=""0.6691374""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.8d""","=""3D""","=""3""",,"=""u28""","=""L7412""",
"=""2*""","=""3.98e+05""",C,"=""0.2002811""","=""0.666031""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.8s""","=""3S""","=""1""",,"=""u28""","=""L7412""",
"=""2*""","=""1.19e+06""",C,"=""0.20028670""","=""0.666031""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.8s""","=""3S""","=""1""",,"=""u28""","=""L7412""",
"=""2*""","=""1.99e+06""",C,"=""0.2003080""","=""0.666031""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.8s""","=""3S""","=""1""",,"=""u28""","=""L7412""",
"=""19*""","=""8.15e+06""",B,"=""0.2002811""","=""0.6641408""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.7d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""19*""","=""6.12e+06""",B,"=""0.20028670""","=""0.6641408""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.7d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""19*""","=""1.10e+07""",B,"=""0.20028670""","=""0.6641406""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.7d""","=""3D""","=""2""",,"=""u28""","=""L7412""",
"=""19*""","=""4.08e+05""",B,"=""0.2003080""","=""0.6641408""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.7d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""19*""","=""3.67e+06""",B,"=""0.2003080""","=""0.6641406""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.7d""","=""3D""","=""2""",,"=""u28""","=""L7412""",
"=""19*""","=""1.47e+07""",B,"=""0.2003080""","=""0.6641398""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.7d""","=""3D""","=""3""",,"=""u28""","=""L7412""",
