"=""""","=""1.272e-04""",AA,"=""0.000000000""","=""[1.456714822454]""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",M1,"=""T1896""","=""""",
intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""50""","=""""",,"=""4.2858""","=""4.6392""","=""2s.2p""","=""3P*""","=""0,1,2""","=""2p.3p""","=""3D""","=""1,2,3""",,"=""""","=""L1786""",
"=""1*""","=""4.4174e+05""",AAA,"=""[1.456714822454]""","=""[1.797003496548]""","=""1s.2s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""0""",,"=""T8636c73""","=""L14924""",
"=""1*""","=""4.4174e+05""",AAA,"=""[1.456714822454]""","=""[1.797003435372]""","=""1s.2s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""1""",,"=""T8636c73""","=""L14924""",
"=""1*""","=""4.4174e+05""",AAA,"=""[1.456714822454]""","=""[1.797003430395]""","=""1s.2s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""2""",,"=""T8636c73""","=""L14924""",
"=""1*""","=""6.0234e+05""",AAA,"=""[1.456714822454]""","=""[1.794606877204]""","=""1s.2s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""0""",,"=""T8636c73""","=""L14924""",
"=""1*""","=""6.0234e+05""",AAA,"=""[1.456714822454]""","=""[1.794606793020]""","=""1s.2s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""1""",,"=""T8636c73""","=""L14924""",
"=""1*""","=""6.0234e+05""",AAA,"=""[1.456714822454]""","=""[1.794606786169]""","=""1s.2s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""2""",,"=""T8636c73""","=""L14924""",
"=""1*""","=""8.4996e+05""",AAA,"=""[1.456714822454]""","=""[1.791247807400]""","=""1s.2s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""0""",,"=""T8636c73""","=""L14924""",
"=""1*""","=""8.4996e+05""",AAA,"=""[1.456714822454]""","=""[1.791247687044]""","=""1s.2s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""1""",,"=""T8636c73""","=""L14924""",
"=""1*""","=""8.4996e+05""",AAA,"=""[1.456714822454]""","=""[1.791247677247]""","=""1s.2s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""2""",,"=""T8636c73""","=""L14924""",
"=""2*""","=""1.2508e+06""",AAA,"=""[1.456714822454]""","=""[1.786332527339]""","=""1s.2s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""0""",,"=""T8636c73""","=""L366""",
"=""2*""","=""1.2508e+06""",AAA,"=""[1.456714822454]""","=""[1.786332346688]""","=""1s.2s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""1""",,"=""T8636c73""","=""L366""",
"=""2*""","=""1.2508e+06""",AAA,"=""[1.456714822454]""","=""[1.786332331980]""","=""1s.2s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""2""",,"=""T8636c73""","=""L366""",
"=""10""","=""""",,"=""4.385942""","=""4.70920""","=""2p2""","=""3P""","=""0,1,2""","=""2p.3d""","=""3P*""","=""0,1,2""",,"=""""","=""L1786""",
"=""4*""","=""1.9389e+06""",AAA,"=""[1.456714822454]""","=""[1.778727464481]""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",,"=""T8636c73""","=""L366""",
"=""4*""","=""1.9389e+06""",AAA,"=""[1.456714822454]""","=""[1.778727175406]""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",,"=""T8636c73""","=""L366""",
"=""4*""","=""1.9389e+06""",AAA,"=""[1.456714822454]""","=""[1.778727151852]""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",,"=""T8636c73""","=""L366""",
"=""10*""","=""3.2006e+06""",AAA,"=""[1.456714822454]""","=""[1.76604253858]""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",,"=""T8636c73""","=""L14925c72""",
"=""10*""","=""3.2006e+06""",AAA,"=""[1.456714822454]""","=""[1.76604203333]""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",,"=""T8636c73""","=""L14925c72""",
"=""10*""","=""3.2006e+06""",AAA,"=""[1.456714822454]""","=""[1.76604199211]""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""L14925c72""",
