intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""200""","=""6.41e+07""",C,"=""0.00203356""","=""0.54600694""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.nd""","=""a 3P*""","=""2""",,"=""T5071""","=""L3521""",
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""50w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""2.20e+01""",D,"=""0.00000000""","=""0.53938874""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",E2,"=""T5785""","=""""",
"=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""4.38e+00""",D,"=""0.00070272""","=""0.53938874""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",E2,"=""T5785""","=""""",
"=""""","=""8.62e+01""",D+,"=""0.00070272""","=""0.5393832""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",E2,"=""T5785""","=""""",
"=""""","=""1.31e-02""",E,"=""0.00000000""","=""0.53865808""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",E2,"=""T5785""","=""""",
"=""50""","=""6.75e+07""",D+,"=""0.00000000""","=""0.53816250""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.4d""","=""3D*""","=""1""",,"=""T5071""","=""L3521""",
"=""""","=""3.20e+01""",D+,"=""0.00070272""","=""0.53865808""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",E2,"=""T5785""","=""""",
"=""""","=""4.31e+00""",D,"=""0.00070272""","=""0.53864958""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",E2,"=""T5785""","=""""",
"=""50""","=""3.97e+07""",D+,"=""0.00070272""","=""0.53816250""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4d""","=""3D*""","=""1""",,"=""T5071""","=""L3521""",
"=""""","=""3.55e+01""",D+,"=""0.00203356""","=""0.53938874""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",E2,"=""T5785""","=""""",
"=""""","=""2.84e+01""",D,"=""0.00203356""","=""0.5393832""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",E2,"=""T5785""","=""""",
"=""""","=""1.97e+01""",D,"=""0.00070272""","=""0.53796639""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",E2,"=""T5785""","=""""",
"=""200""","=""1.22e+08""",C,"=""0.00070272""","=""0.5379409""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4d""","=""3D*""","=""2""",,"=""T5071""","=""L3521""",
"=""200""","=""1.38e+08""",C,"=""0.00203356""","=""0.5387231""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4d""","=""3D*""","=""3""",,"=""T5071""","=""L3521""",
"=""""","=""4.09e+01""",D+,"=""0.00203356""","=""0.53865808""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",E2,"=""T5785""","=""""",
"=""""","=""1.04e+02""",D+,"=""0.00203356""","=""0.53864958""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",E2,"=""T5785""","=""""",
"=""""","=""1.80e+06""",E,"=""0.00203356""","=""0.53816250""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4d""","=""3D*""","=""1""",,"=""T5071""","=""""",
