intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""a""","=""""",,"=""0.000000000""","=""0.806650""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L3744""",
"=""a""","=""""",,"=""0.00013931""","=""0.806650""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L3744""",
"=""a""","=""""",,"=""0.00013931""","=""0.797908""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",,"=""""","=""L3744""",
"=""a""","=""""",,"=""0.00013931""","=""0.797884""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""""","=""L3744""",
"=""a""","=""4.88e+07""",C,"=""0.000000000""","=""0.791571""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""u27""","=""L3744""",
"=""a""","=""1.95e+08""",C,"=""0.000000000""","=""0.791523""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""u27""","=""L3744""",
"=""a""","=""2.4e+08""",C,"=""0.00013931""","=""0.791571""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""u27""","=""L3744""",
"=""a""","=""9.75e+07""",C,"=""0.00013931""","=""0.791523""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""u27""","=""L3744""",
"=""2""","=""3.42e+08""",C+,"=""0.000000000""","=""0.6609835""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""3/2""",,"=""u27""","=""L2166""",
"=""3""","=""1.37e+09""",C+,"=""0.000000000""","=""0.6608773""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""1/2""",,"=""u27""","=""L2166""",
"=""4""","=""1.71e+09""",C+,"=""0.00013931""","=""0.6609835""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""3/2""",,"=""u27""","=""L2166""",
"=""1""","=""6.84e+08""",C+,"=""0.00013931""","=""0.6608773""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""1/2""",,"=""u27""","=""L2166""",
"=""a""","=""""",,"=""0.2611546+x""","=""0.905643+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4D*""","=""7/2""",,"=""""","=""L3744""",
"=""2""","=""3.4e+08""",D,"=""0.2610546+x""","=""0.882843+x""","=""2s.2p2""","=""4P""","=""1/2""","=""2p3""","=""4S*""","=""3/2""",,"=""u27""","=""L3744""",
"=""3""","=""6.6e+08""",D,"=""0.2610969+x""","=""0.882843+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2p3""","=""4S*""","=""3/2""",,"=""u27""","=""L3744""",
"=""2""","=""1.00e+09""",D,"=""0.2611546+x""","=""0.882843+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2p3""","=""4S*""","=""3/2""",,"=""u27""","=""L3744""",
"=""a""","=""""",,"=""0.2610969+x""","=""0.881422+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""5/2""",,"=""""","=""L3744""",
"=""a""","=""""",,"=""0.2611546+x""","=""0.881457+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""7/2""",,"=""""","=""L3744""",
"=""a""","=""""",,"=""0.2611546+x""","=""0.881361+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""3/2""",,"=""""","=""L3744""",
"=""a""","=""""",,"=""0.00013931""","=""0.6092331""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.39d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6092005""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.38d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6091622""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.37d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6091212""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.36d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6090760""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.35d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.000000000""","=""0.6089184""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.32d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6090247""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.34d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.000000000""","=""0.6088511""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.31d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6089731""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.33d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a*""","=""""",,"=""0.00013931""","=""0.6089184""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.32d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a*""","=""""",,"=""0.000000000""","=""0.6087781""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.30d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6088511""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.31d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6087781""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.30d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.000000000""","=""0.6086141""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.28d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6087019""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.29d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.000000000""","=""0.6085176""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.27d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6086141""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.28d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.000000000""","=""0.6084094""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.26d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6085176""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.27d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.000000000""","=""0.6082894""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.25d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a""","=""""",,"=""0.00013931""","=""0.6084094""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.26d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a*""","=""""",,"=""0.000000000""","=""0.6081511""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.24d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""a*""","=""""",,"=""0.00013931""","=""0.6082894""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.25d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
