intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""140g,a""","=""""",,"=""0.00000000""","=""0.764280""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).9p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""86g,a""","=""""",,"=""0.00102117""","=""0.764350""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(1P*).4p?""","=""2P?""","=""3/2?""",,"=""""","=""L3597""",
"=""62g,a""","=""""",,"=""0.00102117""","=""0.763616""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(1P*).4p?""","=""2P?""","=""1/2?""",,"=""""","=""L3597""",
"=""36g,a""","=""""",,"=""0.00000000""","=""0.76083""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(1P*).4p?""","=""2D?""","=""3/2""",,"=""""","=""L3597""",
"=""65g,a""","=""""",,"=""0.00000000""","=""0.76035""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).8p?""","=""2D?""","=""3/2?""",,"=""""","=""L3597""",
"=""125g,a""","=""""",,"=""0.00102117""","=""0.761242""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).8p?""","=""2S?""","=""1/2?""",,"=""""","=""L3597""",
"=""86g,a""","=""""",,"=""0.00102117""","=""0.76083""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(1P*).4p?""","=""2D?""","=""5/2""",,"=""""","=""L3597""",
"=""120g,a""","=""""",,"=""0.00102117""","=""0.76043""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).8p?""","=""2D?""","=""5/2?""",,"=""""","=""L3597""",
"=""91g,a""","=""""",,"=""0.00102117""","=""0.76035""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).8p?""","=""2D?""","=""3/2?""",,"=""""","=""L3597""",
"=""96g,a""","=""""",,"=""0.00000000""","=""0.759102""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).8p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""150g,a""","=""""",,"=""0.00000000""","=""0.758852""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).8p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""34g,a""","=""""",,"=""0.00102117""","=""0.759102""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).8p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""160g,a""","=""""",,"=""0.00102117""","=""0.758852""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).8p?""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""55g,a""","=""""",,"=""0.00000000""","=""0.753634""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).7p""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""110g,a""","=""""",,"=""0.00102117""","=""0.753634""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).7p""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""105g,a""","=""""",,"=""0.00102117""","=""0.75269""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).7p""","=""2D""","=""5/2""",,"=""""","=""L3597""",
"=""165g,a""","=""""",,"=""0.00000000""","=""0.750985""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).7p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""78g,a""","=""""",,"=""0.00000000""","=""0.750660""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).7p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""265g,a""","=""""",,"=""0.00000000""","=""0.750289""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).7p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""96g,a""","=""""",,"=""0.00102117""","=""0.750985""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).7p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""260g,a""","=""""",,"=""0.00102117""","=""0.750289""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).7p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""160g,a""","=""""",,"=""0.00000000""","=""0.740997""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""2S""","=""3/2""",,"=""""","=""L3597""",
"=""455g,a""","=""""",,"=""0.00102117""","=""0.740997""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""2S""","=""3/2""",,"=""""","=""L3597""",
"=""1000g,a""","=""""",,"=""0.00102117""","=""0.73898""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""2D""","=""5/2""",,"=""""","=""L3597""",
"=""50g,a""","=""""",,"=""0.00000000""","=""0.737518""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""100g,a""","=""""",,"=""0.00102117""","=""0.737518""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""590g,a""","=""""",,"=""0.00000000""","=""0.736411""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""230g,a""","=""""",,"=""0.00000000""","=""0.736089""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""550g,a""","=""""",,"=""0.00000000""","=""0.735706""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""260g,a""","=""""",,"=""0.00000000""","=""0.735599""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).6p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""775g,a""","=""""",,"=""0.00102117""","=""0.736411""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""1035g,a""","=""""",,"=""0.00102117""","=""0.735706""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""425g,a""","=""""",,"=""0.00102117""","=""0.735599""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).6p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""285g,a""","=""""",,"=""0.00000000""","=""0.717558""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""620g,a""","=""""",,"=""0.00102117""","=""0.717558""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""2S""","=""1/2""",,"=""""","=""L3597""",
"=""1780g,a""","=""""",,"=""0.00102117""","=""0.71326""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""2D""","=""5/2""",,"=""""","=""L3597""",
"=""75g,a""","=""""",,"=""0.00000000""","=""0.709453""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""155g,a""","=""""",,"=""0.00102117""","=""0.709453""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""1100g,a""","=""""",,"=""0.00000000""","=""0.708170""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""2P""","=""3/2""",,"=""""","=""L3597""",
"=""395g,a""","=""""",,"=""0.00000000""","=""0.707762""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""730g,a""","=""""",,"=""0.00000000""","=""0.707534""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""""","=""3/2?""",,"=""""","=""L3597""",
"=""570g,a""","=""""",,"=""0.00000000""","=""0.707389""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p.(3P*).5p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""2090g,a""","=""""",,"=""0.00102117""","=""0.708170""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""2P""","=""3/2""",,"=""""","=""L3597""",
"=""335g,a""","=""""",,"=""0.00102117""","=""0.707762""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""""","=""1/2?""",,"=""""","=""L3597""",
"=""1890g,a""","=""""",,"=""0.00102117""","=""0.707534""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).5p""","=""""","=""3/2?""",,"=""""","=""L3597""",
