intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""40""","=""2.92e+07""",D+,"=""0.00000000""","=""1.00068270""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",,"=""T5723LS""","=""L3513""",
"=""""","=""8.29e+05""",B,"=""0.00000000""","=""0.95813998""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",,"=""T7370""","=""""",
"=""""","=""1.71e+05""",B,"=""0.00000000""","=""0.95792283""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",,"=""T7370""","=""""",
"=""""","=""1.12e+07""",B,"=""0.00000000""","=""0.9569083""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",,"=""T7370""","=""""",
"=""""","=""1.45e+07""",B,"=""0.00000000""","=""0.9567964""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",,"=""T7370""","=""""",
"=""""","=""7.62e+06""",B,"=""0.00000000""","=""0.9566880""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",,"=""T7370""","=""""",
"=""90""","=""1.90e+08""",B,"=""0.00000000""","=""0.9557925""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",,"=""T7370""","=""L3513""",
"=""100""","=""1.81e+08""",B,"=""0.00000000""","=""0.9555522""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",,"=""T7370""","=""L3513""",
"=""130""","=""1.62e+08""",B,"=""0.00000000""","=""0.95523669""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""",,"=""T7370""","=""L3513""",
"=""""","=""1.95e+07""",B+,"=""0.00000000""","=""0.95510228""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",,"=""T7370""","=""""",
