intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""2.26e+07""",C,"=""0.1036715""","=""0.59374736""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",,"=""T1220""","=""""",
"=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""180""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""280""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""280""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""180""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""400""","=""2.11e+07""",C,"=""0.1035292""","=""0.53012383""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",,"=""T1220""","=""L5148""",
"=""400""","=""2.83e+08""",C,"=""0.1036715""","=""0.53012383""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",,"=""T1220""","=""L5148""",
"=""400""","=""3.18e+08""",C,"=""0.1035292""","=""0.52741015""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",,"=""T1220""","=""L5148""",
"=""280""","=""4.85e+07""",C,"=""0.1706139""","=""0.59374736""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",,"=""T1220""","=""L5148""",
"=""500""","=""5.8e+07""",C,"=""0.1708444""","=""0.59375542""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",,"=""T1220""","=""L5148""",
"=""""","=""1.73e+07""",C,"=""0.1708444""","=""0.59374736""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",,"=""T1220""","=""""",
"=""""","=""5.4e+03""",E,"=""0.1035292""","=""0.51340472""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",,"=""T1220""","=""""",
"=""""","=""8.8e+04""",E,"=""0.1036715""","=""0.51340472""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",,"=""T1220""","=""""",
"=""""","=""1.3e+05""",E,"=""0.1035292""","=""0.51113539""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",,"=""T1220""","=""""",
"=""180""","=""6.2e+05""",E,"=""0.1036715""","=""0.51113539""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",,"=""T1220""","=""L5148""",
"=""""","=""4.0e+05""",E,"=""0.1035292""","=""0.50975751""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",,"=""T1220""","=""""",
"=""750""","=""2.00e+07""",C,"=""0.1706139""","=""0.53012383""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",,"=""T1220""","=""L5148""",
"=""950""","=""9.5e+07""",C,"=""0.1708444""","=""0.53012383""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",,"=""T1220""","=""L5148""",
"=""750""","=""7.1e+07""",C,"=""0.1706139""","=""0.52741015""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",,"=""T1220""","=""L5148""",
"=""500""","=""3.00e+07""",C,"=""0.1708444""","=""0.52741015""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",,"=""T1220""","=""L5148""",
"=""""","=""4.1e+01""",E,"=""0.1708444""","=""0.51340472""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",,"=""T1220""","=""""",
"=""""","=""2.7e+04""",E,"=""0.1706139""","=""0.51113539""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",,"=""T1220""","=""""",
"=""""","=""1.3e+05""",E,"=""0.1708444""","=""0.51113539""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",,"=""T1220""","=""""",
"=""""","=""3.9e+04""",E,"=""0.1706139""","=""0.50975751""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",,"=""T1220""","=""""",
"=""""","=""4.1e+04""",E,"=""0.1708444""","=""0.50975751""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",,"=""T1220""","=""""",
"=""""","=""1.1e+06""",E,"=""0.50975751""","=""0.69275980""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""2.0e+06""",E,"=""0.51113539""","=""0.69275980""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""",,"=""T1619CA,LS""","=""""",
